avatar_id,default_voice,is_public,normal_preview,pose_name,status
Marianne_Black_Suit_public,6664c469256949f19aab13c83c6005a1,True,https://files2.heygen.ai/avatar/v3/d5fc5662d26f49cf919979dc3acc2a72_55390/preview_talk_1.webp,Marianne in Black Suit,ACTIVE
Marianne_Red_Suit_public,6664c469256949f19aab13c83c6005a1,True,https://files2.heygen.ai/avatar/v3/4cb21e9e145f47be831e568cf1d8cea2_55390/preview_target.webp,Marianne in Red Suit,ACTIVE
Marianne_Chair_Sitting_public,6664c469256949f19aab13c83c6005a1,True,https://files2.heygen.ai/avatar/v3/3d606d7659854541a0dd9ee3a81528ec_55380/preview_target.webp,Marianne Chair Sitting,ACTIVE
Katya_Black_Suit_public,a8afd8132bdb41a29cfba4944ac9c7ec,True,https://files2.heygen.ai/avatar/v3/da5cba6bc7b34c5ea139f77da98fdc04_55370/preview_talk_1.webp,Katya in Black Suit,ACTIVE
Katya_Pink_Suit_public,a8afd8132bdb41a29cfba4944ac9c7ec,True,https://files2.heygen.ai/avatar/v3/5d50a54d2787496bb16a1176aecc0f53_55370/preview_target.webp,Katya in Pink Suit,ACTIVE
Katya_Chair_Sitting_public,a8afd8132bdb41a29cfba4944ac9c7ec,True,https://files2.heygen.ai/avatar/v3/b1ff5edbf96242e6ac9469227df40924_55360/preview_target.webp,Katya Chair Sitting,ACTIVE
Graham_Black_Suit_public,b6b264e13f6942b6843bbdaf2cf423c4,True,https://files2.heygen.ai/avatar/v3/e04ebabcc6784cb6959a866605474650_55350/preview_talk_1.webp,Graham in Black Suit,ACTIVE
Graham_Black_Shirt_public,b6b264e13f6942b6843bbdaf2cf423c4,True,https://files2.heygen.ai/avatar/v3/1bd0162ce985415092ed1f003aa90646_55350/preview_target.webp,Graham in Black Shirt,ACTIVE
Graham_Chair_Sitting_public,b6b264e13f6942b6843bbdaf2cf423c4,True,https://files2.heygen.ai/avatar/v3/2146e2c8c07045c0b3598683d4473fdd_55340/preview_target.webp,Graham Chair Sitting,ACTIVE
Anthony_Black_Suit_public,6f94c8b2a6784a1d92ffbe0339138f31,True,https://files2.heygen.ai/avatar/v3/c08ed6510bce4d45ada3ef491d6a08c1_55330/preview_talk_1.webp,Anthony in Black Suit,ACTIVE
